date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:27	28943/28943	---M-Z	200	added ('OK')	text/html	etag:W/%227d86fd96030d56dea64d85f2badc87fe%22	http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true	C:/My%20Web%20Sites/jacer/preview.themeforest.net/item/superlist-directory-template/full_screen_preview/126236311f7b.html	(from )
13:50:27	1/1	---M--	200	added ('OK')	text/plain	etag:%225a616e2c-1%22	http://preview.themeforest.net/robots.txt		(from )
13:50:28	0/0	---M--	410	error ('Gone')	text/plain	date:Sat,%2020%20Jan%202018%2012:51:21%20GMT	http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/&quot;http://preview.byaviators.com/descriptions/superlist-html/descri...%22	C:/My%20Web%20Sites/jacer/preview.themeforest.net/item/superlist-directory-template/full_screen_preview/&quot;http_/preview.byaviators.com/descriptions/superlist-html/descri..._	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
13:50:28	189464/189464	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jan%202018%2014:12:06%20GMT	https://public-assets.envato-static.com/assets/market/core/index-a23f7f2dd592d3928d0c7365f8386c4310a63d0ffe2e72a92ec9a83aaadeb17c.css	C:/My%20Web%20Sites/jacer/public-assets.envato-static.com/assets/market/core/index-a23f7f2dd592d3928d0c7365f8386c4310a63d0ffe2e72a92ec9a83aaadeb17c.css	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
13:50:29	1977/1977	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Aug%202017%2023:05:04%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	C:/My%20Web%20Sites/jacer/public-assets.envato-static.com/assets/market/pages/preview/index-6da503d08aa5f43ac39ce104f6cabc796ea21e19547d1d8b441cb073c2e88d01.css	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
13:50:29	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/jacer/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
13:50:30	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/jacer/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
13:50:30	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/jacer/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
13:50:30	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/My%20Web%20Sites/jacer/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-precomposed.png	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
13:50:30	132037/132037	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20Jan%202018%2002:15:42%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-ba03fe683c1229f0f7c115fd29e13bc81bb7823a6a9256a7b7651d1178f9ba54.js	C:/My%20Web%20Sites/jacer/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-ba03fe683c1229f0f7c115fd29e13bc81bb7823a6a9256a7b7651d1178f9ba54.js	(from http://preview.themeforest.net/item/superlist-directory-template/full_screen_preview/12623631?ref=cirvitis&clickthrough_id&redirect_back=true)
